code,station,time,title
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 12:09:32,Witch Hammer - (06) Sibyla
RB,Rádio Beat,2022-02-04 12:13:32,DEEP PURPLE - HIGHWAY STAR
MH,Metal Heart Radio,2022-02-04 12:13:48,METAL HEART RADIO - MHRs
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 12:14:03,Amaranthe - (08) Breakthrough Starshot
MH,Metal Heart Radio,2022-02-04 12:14:04,Hypocrisy - 01. Worship
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 12:17:03,Within Temptation - (04) Deep Within
MH,Metal Heart Radio,2022-02-04 12:18:48,Magnum - 04 - I Won't Let You Down
RB,Rádio Beat,2022-02-04 12:19:46,Radio BEAT - Classic Rock
RB,Rádio Beat,2022-02-04 12:20:46,ZUZANA MICHNOVA & MARSYAS - S LUISEM
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 12:21:33,Nox Arcana - (17) The Stars Align
MH,Metal Heart Radio,2022-02-04 12:22:35,Praying Mantis - 03 - Ain't No Rock 'n' Roll in Heaven
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 12:23:33,Van Canto - (13) A Storm to Come (bonus)
RB,Rádio Beat,2022-02-04 12:25:02,Radio BEAT - Classic Rock
MH,Metal Heart Radio,2022-02-04 12:25:18,Hypocrisy - 04. Dead World
RB,Rádio Beat,2022-02-04 12:26:02,RAM JAM - BLACK BETTY
MH,Metal Heart Radio,2022-02-04 12:29:33,Metal Heart Radio - Metal Live CZ
MH,Metal Heart Radio,2022-02-04 12:29:48, - Ranní sprcha - spot
RB,Rádio Beat,2022-02-04 12:30:02,"HOLLIES - HE AIN'T HEAVY, HE'S MY BROTHER"
MH,Metal Heart Radio,2022-02-04 12:30:19,Cynic - 12 DA'z-a86.4
MH,Metal Heart Radio,2022-02-04 12:30:49,METAL HEART RADIO - MHRs
MH,Metal Heart Radio,2022-02-04 12:31:03,Cynic - 12 DA'z-a86.4
MH,Metal Heart Radio,2022-02-04 12:31:34,Unleashed - 04 - You Are the Warrior!
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 12:32:32,Tristania - (09) Bird
RB,Rádio Beat,2022-02-04 12:34:32,Radio BEAT - Classic Rock
MH,Metal Heart Radio,2022-02-04 12:36:03,Skillet - 11. Ignite
RB,Rádio Beat,2022-02-04 12:36:46,DEF LEPPARD - I WANNA TOUCH YOU
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 12:37:47,XIII Stoleti - (05) Ten stary dum se rozpada
MH,Metal Heart Radio,2022-02-04 12:39:33,Swallow the Sun - 05 - All Hallows' Grieve
RB,Rádio Beat,2022-02-04 12:40:32,LED ZEPPELIN - STAIRWAY TO HEAVEN
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 12:42:47,Nightwish - (06) Swanheart
MH,Metal Heart Radio,2022-02-04 12:45:19,Infected Rain - 02 - Fighter
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 12:47:33,Nightwish - (05) Our Decades In The Sun
RB,Rádio Beat,2022-02-04 12:48:48,Radio BEAT - Classic Rock
RB,Rádio Beat,2022-02-04 12:49:32,SCOTT MCKENZIE - SAN FRANCISCO (BE SURE TO WEAR SOME FLOWERS IN Y
MH,Metal Heart Radio,2022-02-04 12:50:18,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-02-04 12:50:33,Rhapsody of Fire - 07 - Abyss of Pain II
RB,Rádio Beat,2022-02-04 12:52:49,Radio BEAT - Classic Rock
RB,Rádio Beat,2022-02-04 12:53:17,VISACI ZAMEK - PADESAT
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 12:54:03,Stratovarius - (09) Babylon
RB,Rádio Beat,2022-02-04 12:58:04,Radio BEAT - Classic Rock
