code,station,time,title
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 17:06:33,Beseech - (10) Black Emotions
RB,Rádio Beat,2022-02-04 17:07:18,PROCOL HARUM - A WHITER SHADE OF PALE
MH,Metal Heart Radio,2022-02-04 17:10:33,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-02-04 17:10:48,SlipKnot - Psychosocial
RB,Rádio Beat,2022-02-04 17:11:32,Radio BEAT - Classic Rock
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 17:11:47,Nightwish - (10) Beauty Of The Beast
RB,Rádio Beat,2022-02-04 17:12:02,ZZ TOP - VIVA LAS VEGAS
MH,Metal Heart Radio,2022-02-04 17:15:33,"399 - FALCONER - Long Gone By [Northwind, 2006]"
RB,Rádio Beat,2022-02-04 17:16:32,PROGRES 2 - PÍSEN O JABLKU
MH,Metal Heart Radio,2022-02-04 17:19:18,"439 - ANGRA - Late Redemption [Temple Of Shadows, 2004]"
RB,Rádio Beat,2022-02-04 17:21:17,Radio BEAT - Classic Rock
RB,Rádio Beat,2022-02-04 17:22:02,Daniel Lee - Southern Mother Fucker
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 17:22:18,Lunatica - (07) Time
MH,Metal Heart Radio,2022-02-04 17:24:03,UFO - Rock Bottom
RB,Rádio Beat,2022-02-04 17:25:32,FAITH NO MORE - A SMALL VICTORY
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 17:26:18,Aeternitas - (11) Annabel Lee
